Temps(s),U(V),Itot(A),IL(A),IR(A)
-4.594000e-02,-312,-3.4,0.2,-3.8
-4.593000e-02,-312,-3.6,0,-3.8
-4.592000e-02,-306,-3.4,0.2,-3.8
-4.591000e-02,-306,-3.6,0.2,-3.6
-4.590000e-02,-312,-3.6,0.2,-4
-4.589000e-02,-306,-3.6,0.2,-4
-4.588000e-02,-312,-3.6,0.2,-3.8
-4.587000e-02,-306,-3.4,0,-4
-4.586000e-02,-312,-3.6,0.2,-3.8
-4.585000e-02,-300,-3.6,0.2,-3.8
-4.584000e-02,-306,-3.6,0,-3.8
-4.583000e-02,-306,-3.6,0,-4
-4.582000e-02,-306,-3.6,0,-3.8
-4.581000e-02,-312,-3.8,0.4,-3.8
-4.580000e-02,-312,-3.6,0,-3.6
-4.579000e-02,-312,-3.8,0.2,-3.8
-4.578000e-02,-306,-3.8,0,-4
-4.577000e-02,-306,-3.8,0,-3.8
-4.576000e-02,-312,-3.8,0,-3.8
-4.575000e-02,-306,-3.6,0,-4
-4.574000e-02,-312,-3.6,-0.2,-3.8
-4.573000e-02,-312,-3.8,-0.2,-3.8
-4.572000e-02,-312,-4,0,-4
-4.571000e-02,-306,-4,-0.2,-4
-4.570000e-02,-306,-4,-0.2,-3.8
-4.569000e-02,-312,-4,0,-3.8
-4.568000e-02,-306,-4,-0.2,-3.8
-4.567000e-02,-312,-3.8,0,-3.8
-4.566000e-02,-306,-4,-0.2,-4
-4.565000e-02,-312,-4,-0.2,-3.8
-4.564000e-02,-306,-4,-0.2,-3.6
-4.563000e-02,-312,-3.8,-0.2,-4
-4.562000e-02,-318,-4,0,-3.6
-4.561000e-02,-312,-4,-0.2,-3.8
-4.560000e-02,-312,-4,-0.2,-4
-4.559000e-02,-312,-4,-0.2,-3.8
-4.558000e-02,-318,-4.4,-0.4,-3.8
-4.557000e-02,-312,-4.4,-0.2,-3.8
-4.556000e-02,-318,-4.2,-0.2,-4
-4.555000e-02,-312,-4,-0.4,-3.8
-4.554000e-02,-312,-4.2,-0.4,-3.4
-4.553000e-02,-318,-4,-0.4,-3.8
-4.552000e-02,-306,-4.2,-0.4,-4
-4.551000e-02,-318,-4.2,-0.4,-3.8
-4.550000e-02,-318,-4.2,-0.4,-3.8
-4.549000e-02,-312,-4.2,-0.4,-3.8
-4.548000e-02,-312,-4.2,-0.4,-3.8
-4.547000e-02,-312,-4.4,-0.2,-4
-4.546000e-02,-318,-4.4,-0.2,-3.8
-4.545000e-02,-312,-4.2,-0.4,-3.8
-4.544000e-02,-306,-4.6,-0.2,-3.8
-4.543000e-02,-318,-4.6,-0.4,-4
-4.542000e-02,-318,-4.4,-0.6,-3.8
-4.541000e-02,-312,-4.2,-0.6,-3.8
-4.540000e-02,-312,-4.4,-0.4,-4
-4.539000e-02,-312,-4.4,-0.4,-3.8
-4.538000e-02,-312,-4.4,-0.6,-4
-4.537000e-02,-318,-4.4,-0.8,-3.8
-4.536000e-02,-312,-4.4,-0.6,-4
-4.535000e-02,-318,-4.4,-0.4,-4
-4.534000e-02,-312,-4.4,-0.6,-3.8
-4.533000e-02,-312,-4.6,-0.6,-3.8
-4.532000e-02,-312,-4.6,-0.6,-3.8
-4.531000e-02,-312,-4.4,-0.6,-3.8
-4.530000e-02,-312,-4.4,-0.6,-3.8
-4.529000e-02,-312,-4.6,-0.6,-3.8
-4.528000e-02,-318,-4.6,-0.6,-4
-4.527000e-02,-318,-4.6,-0.6,-3.8
-4.526000e-02,-312,-4.6,-0.6,-4
-4.525000e-02,-318,-4.6,-0.6,-3.8
-4.524000e-02,-318,-4.6,-0.6,-4
-4.523000e-02,-312,-4.6,-0.8,-4
-4.522000e-02,-318,-4.4,-0.8,-3.8
-4.521000e-02,-312,-4.6,-1,-3.8
-4.520000e-02,-318,-4.6,-0.8,-3.8
-4.519000e-02,-324,-4.6,-0.8,-3.8
-4.518000e-02,-318,-4.6,-0.8,-4
-4.517000e-02,-312,-4.6,-0.8,-4
-4.516000e-02,-318,-4.8,-0.8,-4
-4.515000e-02,-318,-4.8,-0.8,-3.8
-4.514000e-02,-318,-5,-1,-3.8
-4.513000e-02,-318,-4.6,-0.8,-4
-4.512000e-02,-312,-4.6,-0.8,-4
-4.511000e-02,-312,-4.8,-0.8,-4
-4.510000e-02,-318,-4.8,-1,-3.8
-4.509000e-02,-318,-4.8,-0.8,-3.8
-4.508000e-02,-318,-4.8,-1,-4.2
-4.507000e-02,-318,-4.8,-0.8,-3.8
-4.506000e-02,-318,-5,-1,-4
-4.505000e-02,-318,-5.2,-0.8,-4
-4.504000e-02,-312,-5,-1,-4
-4.503000e-02,-312,-4.8,-1,-3.8
-4.502000e-02,-318,-4.8,-1,-4
-4.501000e-02,-318,-4.8,-1,-4
-4.500000e-02,-312,-5,-1,-3.8
-4.499000e-02,-312,-5,-1.2,-3.8
-4.498000e-02,-318,-5,-1,-4
-4.497000e-02,-312,-5,-1.2,-4
-4.496000e-02,-318,-5,-1,-4
-4.495000e-02,-324,-5,-1.2,-3.8
-4.494000e-02,-318,-5,-1,-3.6
-4.493000e-02,-318,-5.2,-1.2,-4
-4.492000e-02,-318,-5,-1.2,-4
-4.491000e-02,-312,-5.2,-1.2,-4
-4.490000e-02,-318,-5.2,-1.2,-4
-4.489000e-02,-312,-5.2,-1.2,-4
-4.488000e-02,-312,-5.2,-1.2,-4
-4.487000e-02,-318,-5.4,-1.2,-3.8
-4.486000e-02,-324,-5.2,-1.2,-3.8
-4.485000e-02,-318,-5.2,-1.4,-4
-4.484000e-02,-312,-5.2,-1.2,-3.8
-4.483000e-02,-306,-5.2,-1.4,-3.8
-4.482000e-02,-312,-5.2,-1.4,-4
-4.481000e-02,-318,-5.2,-1.2,-3.8
-4.480000e-02,-312,-5.4,-1.2,-4
-4.479000e-02,-312,-5.4,-1.4,-4
-4.478000e-02,-306,-5.4,-1.4,-4
-4.477000e-02,-312,-5.4,-1.4,-3.8
-4.476000e-02,-312,-5.4,-1.2,-3.8
-4.475000e-02,-312,-5.4,-1.6,-3.8
-4.474000e-02,-312,-5.4,-1.4,-4.2
-4.473000e-02,-318,-5.6,-1.2,-3.8
-4.472000e-02,-318,-5.4,-1.4,-4
-4.471000e-02,-318,-5.4,-1.6,-3.6
-4.470000e-02,-318,-5.6,-1.6,-3.8
-4.469000e-02,-318,-5.6,-1.4,-4
-4.468000e-02,-312,-5.4,-1.4,-3.8
-4.467000e-02,-318,-5.8,-1.4,-4
-4.466000e-02,-312,-5.4,-1.4,-4
-4.465000e-02,-324,-5.4,-1.4,-3.8
-4.464000e-02,-318,-5.6,-1.4,-4
-4.463000e-02,-318,-5.4,-1.6,-4
-4.462000e-02,-312,-5.8,-1.8,-3.8
-4.461000e-02,-318,-5.4,-1.6,-3.8
-4.460000e-02,-318,-5.4,-1.6,-3.8
-4.459000e-02,-312,-5.8,-1.6,-3.8
-4.458000e-02,-312,-5.6,-1.8,-3.8
-4.457000e-02,-312,-5.6,-1.6,-3.8
-4.456000e-02,-306,-5.8,-1.4,-3.8
-4.455000e-02,-318,-5.6,-1.6,-3.8
-4.454000e-02,-312,-5.6,-1.6,-3.8
-4.453000e-02,-312,-5.8,-1.6,-3.8
-4.452000e-02,-318,-5.8,-1.8,-3.8
-4.451000e-02,-318,-5.8,-2,-3.8
-4.450000e-02,-312,-5.8,-1.8,-3.8
-4.449000e-02,-318,-5.8,-1.6,-3.8
-4.448000e-02,-318,-5.8,-1.8,-4
-4.447000e-02,-318,-5.8,-1.6,-4
-4.446000e-02,-318,-5.8,-1.8,-3.8
-4.445000e-02,-312,-5.6,-1.8,-3.8
-4.444000e-02,-312,-5.8,-1.8,-3.8
-4.443000e-02,-318,-5.8,-1.8,-4
-4.442000e-02,-318,-6,-1.8,-3.8
-4.441000e-02,-324,-6,-1.8,-4
-4.440000e-02,-312,-5.8,-2,-4
-4.439000e-02,-318,-6,-2,-3.8
